CustomerID,SubscriptionLength,MonthlySpending,TotalSpent,ContractType,HasPremiumSupport,Churn
96,14,35.52,497.28,Yearly,Yes,1
97,31,88.96,2757.76,Monthly,No,0
98,48,127.7,6129.6,Monthly,No,1
99,15,22.49,337.35,Monthly,Yes,0
100,8,84.95,679.6,Monthly,Yes,0
101,14,42.65,597.1,Yearly,No,0
102,23,58.01,1334.23,Yearly,No,0
103,60,76.36,4581.6,Monthly,No,0
104,57,59.71,3403.47,Monthly,Yes,0
105,40,100.84,4033.6,Monthly,No,1
106,21,77.14,1619.94,Monthly,No,1
107,16,91.79,1468.64,Monthly,Yes,0
108,45,113.16,5092.2,Monthly,Yes,1
109,18,88.08,1585.44,Monthly,No,0
110,47,92.11,4329.17,Monthly,Yes,0
111,53,89.02,4718.06,Monthly,No,0
112,24,63.03,1512.72,Monthly,No,0
113,26,57.24,1488.24,Monthly,No,0
114,25,135.95,3398.75,Yearly,Yes,0
115,60,95.06,5703.6,Monthly,No,0
116,60,44.21,2652.6,Yearly,Yes,0
117,60,79.75,4785.0,Yearly,Yes,0
118,45,56.25,2531.25,Monthly,Yes,0
119,41,140.72,5769.52,Yearly,Yes,0
120,29,11.05,320.45,Monthly,Yes,0
121,15,41.55,623.25,Monthly,No,1
122,45,61.15,2751.75,Monthly,No,1
123,1,78.29,78.29,Monthly,Yes,1
124,25,129.11,3227.75,Monthly,No,1
125,7,22.3,156.1,Monthly,Yes,0
126,9,122.82,1105.38,Monthly,Yes,0
127,24,17.79,426.96,Monthly,No,0
128,1,127.92,127.92,Monthly,Yes,0
129,44,17.23,758.12,Yearly,No,0
130,8,12.55,100.4,Monthly,No,1
131,24,107.57,2581.68,Monthly,No,0
132,11,149.62,1645.82,Yearly,No,1
133,51,135.53,6912.03,Monthly,Yes,1
134,17,90.64,1540.88,Monthly,Yes,0
135,8,138.44,1107.52,Monthly,Yes,0
136,35,10.74,375.9,Monthly,No,0
137,35,146.51,5127.85,Yearly,No,0
138,33,78.7,2597.1,Monthly,Yes,0
139,59,111.21,6561.39,Yearly,No,0
140,5,124.92,624.6,Monthly,Yes,1
141,42,110.58,4644.36,Monthly,Yes,1
142,39,84.91,3311.49,Monthly,Yes,1
143,58,76.73,4450.34,Monthly,Yes,1
144,41,127.4,5223.4,Monthly,No,0
145,28,38.71,1083.88,Yearly,Yes,0
146,7,145.52,1018.64,Yearly,No,0
147,9,109.53,985.77,Monthly,Yes,0
148,8,37.93,303.44,Yearly,No,0
149,12,113.07,1356.84,Yearly,Yes,0
150,34,84.18,2862.12,Monthly,Yes,0
151,33,109.01,3597.33,Monthly,No,0
152,48,117.49,5639.52,Monthly,No,0
153,55,22.22,1222.1,Monthly,Yes,0
154,23,80.85,1859.55,Monthly,No,0
155,24,140.48,3371.52,Monthly,No,1
156,37,54.89,2030.93,Yearly,No,0
157,35,93.14,3259.9,Monthly,No,0
158,44,61.69,2714.36,Monthly,Yes,0
159,40,73.6,2944.0,Yearly,No,0
160,22,86.8,1909.6,Yearly,No,0
161,27,86.85,2344.95,Monthly,No,0
162,35,38.24,1338.4,Yearly,No,0
163,1,105.84,105.84,Monthly,No,0
164,35,22.3,780.5,Monthly,No,1
165,37,29.44,1089.28,Monthly,No,0
166,47,10.38,487.86,Monthly,No,0
167,14,26.34,368.76,Monthly,Yes,0
168,3,76.24,228.72,Monthly,No,0
169,1,94.85,94.85,Monthly,Yes,0
170,5,121.2,606.0,Monthly,No,0
171,26,24.94,648.44,Monthly,No,0
172,55,129.1,7100.5,Yearly,Yes,0
173,14,114.44,1602.16,Monthly,No,0
174,39,67.19,2620.41,Monthly,Yes,0
175,27,140.61,3796.47,Monthly,Yes,1
176,9,148.73,1338.57,Monthly,No,0
177,15,38.7,580.5,Monthly,Yes,1
178,15,63.09,946.35,Yearly,Yes,0
179,26,139.7,3632.2,Monthly,No,1
180,42,111.02,4662.84,Monthly,No,1
181,60,16.73,1003.8,Monthly,No,0
182,13,119.41,1552.33,Monthly,Yes,0
183,51,125.91,6421.41,Monthly,Yes,0
184,32,115.07,3682.24,Monthly,Yes,0
185,39,121.94,4755.66,Monthly,Yes,1
186,49,125.52,6150.48,Monthly,No,0
187,52,36.1,1877.2,Monthly,No,0
188,32,43.0,1376.0,Monthly,Yes,0
189,4,98.73,394.92,Yearly,No,1
190,30,137.1,4113.0,Yearly,Yes,0
191,37,54.27,2007.99,Yearly,No,0
192,23,92.36,2124.28,Monthly,No,0
193,39,105.62,4119.18,Monthly,Yes,1
194,45,73.27,3297.15,Monthly,Yes,0
195,15,109.93,1648.95,Monthly,No,0
196,43,135.95,5845.85,Monthly,Yes,0
197,29,97.37,2823.73,Monthly,No,0
198,36,85.57,3080.52,Monthly,Yes,0
199,13,71.42,928.46,Yearly,Yes,1
200,32,90.85,2907.2,Monthly,Yes,0
201,7,59.75,418.25,Monthly,Yes,0
202,59,64.81,3823.79,Monthly,No,1
203,51,84.46,4307.46,Yearly,No,0
204,22,19.33,425.26,Monthly,Yes,0
205,28,42.06,1177.68,Monthly,No,1
206,2,86.0,172.0,Monthly,Yes,0
207,42,70.41,2957.22,Monthly,No,0
208,45,56.59,2546.55,Monthly,Yes,0
209,57,112.28,6399.96,Yearly,Yes,0
210,53,107.12,5677.36,Monthly,Yes,0
211,6,33.34,200.04,Monthly,No,0
212,28,133.01,3724.28,Monthly,Yes,1
213,28,79.36,2222.08,Monthly,No,1
214,44,113.8,5007.2,Monthly,No,1
215,44,90.24,3970.56,Monthly,Yes,1
216,20,149.68,2993.6,Monthly,Yes,1
217,30,115.34,3460.2,Monthly,Yes,0
218,11,108.98,1198.78,Monthly,No,0
219,58,119.0,6902.0,Monthly,No,0
220,55,30.04,1652.2,Monthly,No,0
221,28,38.64,1081.92,Yearly,No,1
222,25,109.97,2749.25,Monthly,No,0
223,39,79.16,3087.24,Monthly,Yes,0
224,33,115.65,3816.45,Yearly,No,0
225,1,24.41,24.41,Monthly,Yes,0
226,57,85.11,4851.27,Yearly,Yes,0
227,27,63.04,1702.08,Monthly,Yes,0
228,57,73.98,4216.86,Yearly,Yes,0
229,52,94.55,4916.6,Monthly,Yes,0
230,13,80.32,1044.16,Monthly,No,0
231,41,85.58,3508.78,Monthly,No,0
232,3,78.09,234.27,Yearly,No,0
233,39,67.25,2622.75,Yearly,No,1
234,6,118.06,708.36,Monthly,Yes,1
235,8,11.71,93.68,Monthly,No,0
236,27,93.78,2532.06,Yearly,Yes,0
237,9,89.17,802.53,Monthly,Yes,0
238,37,110.27,4079.99,Yearly,No,1
239,33,93.86,3097.38,Yearly,Yes,0
240,51,125.75,6413.25,Monthly,No,0
241,42,144.27,6059.34,Monthly,No,1
242,44,57.95,2549.8,Monthly,Yes,0
243,24,41.83,1003.92,Monthly,No,0
244,15,69.3,1039.5,Yearly,Yes,0
245,59,50.31,2968.29,Monthly,No,0
246,54,96.09,5188.86,Yearly,No,0
247,32,137.66,4405.12,Monthly,Yes,0
248,32,29.48,943.36,Yearly,No,1
249,24,24.11,578.64,Monthly,No,0
250,41,45.84,1879.44,Monthly,No,0
251,52,111.65,5805.8,Monthly,Yes,1
252,49,93.01,4557.49,Yearly,No,1
253,49,24.31,1191.19,Monthly,No,0
254,58,138.63,8040.54,Yearly,No,1
255,52,120.61,6271.72,Monthly,No,1
256,12,13.22,158.64,Monthly,Yes,0
257,39,101.19,3946.41,Monthly,Yes,1
258,2,117.97,235.94,Monthly,No,0
259,3,62.42,187.26,Monthly,Yes,0
260,49,19.65,962.85,Yearly,No,0
261,37,20.82,770.34,Yearly,Yes,0
262,49,24.59,1204.91,Yearly,Yes,0
263,56,127.66,7148.96,Yearly,No,0
264,17,137.5,2337.5,Monthly,Yes,0
265,59,27.19,1604.21,Monthly,Yes,0
266,49,43.03,2108.47,Monthly,No,0
267,2,33.17,66.34,Yearly,No,0
268,2,36.08,72.16,Monthly,No,0
269,28,127.25,3563.0,Monthly,Yes,1
270,54,56.5,3051.0,Monthly,Yes,0
271,23,53.6,1232.8,Monthly,Yes,0
272,37,41.84,1548.08,Yearly,Yes,0
273,32,95.11,3043.52,Yearly,Yes,1
274,33,63.1,2082.3,Monthly,Yes,0
275,1,114.19,114.19,Yearly,Yes,0
276,19,38.78,736.82,Monthly,No,1
277,2,120.29,240.58,Monthly,No,1
278,53,94.52,5009.56,Monthly,Yes,0
279,44,26.0,1144.0,Monthly,No,0
280,26,68.03,1768.78,Monthly,Yes,0
281,32,130.89,4188.48,Yearly,No,0
282,6,139.21,835.26,Monthly,No,1
283,32,75.2,2406.4,Yearly,Yes,0
284,55,77.32,4252.6,Monthly,No,1
285,4,138.58,554.32,Monthly,No,1
286,55,92.19,5070.45,Monthly,No,0
287,11,14.6,160.6,Monthly,Yes,0
288,56,137.78,7715.68,Monthly,No,1
289,59,44.75,2640.25,Yearly,Yes,0
290,17,90.87,1544.79,Monthly,No,0
291,38,33.17,1260.46,Monthly,Yes,0
292,24,14.74,353.76,Monthly,Yes,0
293,5,53.61,268.05,Monthly,No,0
294,52,119.27,6202.04,Monthly,No,1
295,34,48.86,1661.24,Monthly,No,0
296,6,40.81,244.86,Monthly,Yes,0
297,22,39.78,875.16,Monthly,No,0
298,11,82.12,903.32,Monthly,No,1
299,48,146.58,7035.84,Monthly,No,0
300,16,74.26,1188.16,Monthly,No,0
301,33,88.02,2904.66,Monthly,No,0
302,9,130.49,1174.41,Yearly,Yes,0
303,60,84.91,5094.6,Monthly,Yes,0
304,59,35.82,2113.38,Monthly,No,1
305,6,51.94,311.64,Monthly,No,1
306,16,53.39,854.24,Yearly,No,0
307,29,65.62,1902.98,Monthly,Yes,0
308,3,69.75,209.25,Monthly,Yes,0
309,20,121.97,2439.4,Yearly,Yes,0
310,60,58.91,3534.6,Monthly,Yes,0
311,59,75.55,4457.45,Monthly,No,0
312,36,97.5,3510.0,Monthly,Yes,0
313,19,62.88,1194.72,Monthly,Yes,0
314,26,127.12,3305.12,Yearly,No,0
315,3,92.24,276.72,Yearly,Yes,1
316,19,51.17,972.23,Monthly,No,0
317,20,109.97,2199.4,Monthly,Yes,0
318,32,83.87,2683.84,Monthly,No,0
319,7,84.82,593.74,Monthly,No,1
320,52,77.35,4022.2,Yearly,Yes,1
321,41,79.58,3262.78,Monthly,No,0
322,33,117.15,3865.95,Monthly,No,1
323,40,24.42,976.8,Yearly,No,0
324,39,56.81,2215.59,Monthly,Yes,0
325,18,20.57,370.26,Monthly,No,0
326,40,115.45,4618.0,Monthly,No,0
327,1,48.12,48.12,Yearly,Yes,0
328,11,135.64,1492.04,Monthly,Yes,1
329,28,83.72,2344.16,Monthly,No,0
330,57,122.1,6959.7,Monthly,Yes,1
331,25,147.05,3676.25,Monthly,Yes,0
332,50,127.57,6378.5,Yearly,Yes,0
333,23,131.38,3021.74,Yearly,No,0
334,31,67.12,2080.72,Monthly,No,0
335,30,87.24,2617.2,Monthly,No,0
336,42,45.54,1912.68,Monthly,No,0
337,35,37.46,1311.1,Monthly,No,1
338,7,80.77,565.39,Monthly,No,0
339,60,93.31,5598.6,Yearly,Yes,0
340,16,57.5,920.0,Monthly,No,1
341,26,89.72,2332.72,Monthly,No,0
342,48,134.24,6443.52,Monthly,Yes,0
343,57,87.94,5012.58,Yearly,No,0
344,52,110.91,5767.32,Yearly,No,0
345,60,122.74,7364.4,Yearly,Yes,0
346,49,148.42,7272.58,Monthly,No,0
347,2,94.45,188.9,Monthly,Yes,0
348,1,122.96,122.96,Yearly,Yes,0
349,48,144.77,6948.96,Monthly,No,1
350,12,142.22,1706.64,Monthly,Yes,0
351,5,29.75,148.75,Yearly,No,0
352,37,66.89,2474.93,Yearly,No,1
353,32,55.36,1771.52,Monthly,No,0
354,59,22.17,1308.03,Monthly,No,0
355,55,98.65,5425.75,Monthly,Yes,1
356,9,113.03,1017.27,Monthly,No,0
357,41,128.74,5278.34,Monthly,No,0
358,35,27.19,951.65,Yearly,No,0
359,19,132.7,2521.3,Yearly,No,0
360,48,100.01,4800.48,Yearly,No,0
361,16,108.55,1736.8,Monthly,No,0
362,3,137.49,412.47,Yearly,Yes,0
363,20,97.47,1949.4,Yearly,No,0
364,24,57.02,1368.48,Monthly,No,1
365,54,125.52,6778.08,Yearly,No,0
366,56,60.83,3406.48,Yearly,No,1
367,33,14.79,488.07,Monthly,Yes,0
368,24,126.29,3030.96,Monthly,No,1
369,52,58.33,3033.16,Monthly,No,0
370,11,118.34,1301.74,Monthly,No,1
371,49,60.79,2978.71,Monthly,Yes,0
372,8,130.55,1044.4,Yearly,Yes,0
373,36,40.73,1466.28,Monthly,No,0
374,38,146.44,5564.72,Monthly,Yes,1
375,40,119.17,4766.8,Monthly,Yes,1
376,20,25.99,519.8,Monthly,Yes,0
377,35,89.21,3122.35,Monthly,Yes,0
378,48,147.95,7101.6,Monthly,No,0
379,25,75.95,1898.75,Monthly,No,0
380,35,35.49,1242.15,Monthly,No,0
381,25,77.87,1946.75,Monthly,No,0
382,29,81.74,2370.46,Monthly,Yes,1
383,18,113.84,2049.12,Yearly,No,0
384,46,107.84,4960.64,Monthly,No,0
385,18,66.36,1194.48,Yearly,Yes,0
386,2,40.52,81.04,Monthly,No,0
387,54,100.31,5416.74,Monthly,No,0
388,35,69.04,2416.4,Yearly,No,0
389,16,28.52,456.32,Monthly,No,1
390,41,136.08,5579.28,Monthly,Yes,0
391,36,106.77,3843.72,Monthly,No,0
392,33,105.65,3486.45,Monthly,No,1
393,4,125.16,500.64,Monthly,No,1
394,33,84.15,2776.95,Monthly,No,0
395,14,124.11,1737.54,Monthly,Yes,1
396,21,79.73,1674.33,Monthly,No,0
397,48,19.4,931.2,Monthly,No,0
398,20,66.73,1334.6,Yearly,Yes,0
399,56,79.65,4460.4,Yearly,Yes,0
400,8,110.83,886.64,Monthly,No,0
401,7,24.92,174.44,Yearly,No,1
402,3,29.6,88.8,Monthly,Yes,0
403,17,46.92,797.64,Monthly,Yes,0
404,33,47.31,1561.23,Monthly,No,0
405,48,112.51,5400.48,Yearly,Yes,0
406,12,45.1,541.2,Monthly,No,0
407,59,98.63,5819.17,Monthly,No,1
408,51,79.2,4039.2,Monthly,No,1
409,22,90.26,1985.72,Yearly,No,0
410,55,127.33,7003.15,Yearly,Yes,0
411,22,66.61,1465.42,Yearly,No,0
412,46,117.93,5424.78,Monthly,No,0
413,30,69.09,2072.7,Monthly,Yes,0
414,38,59.54,2262.52,Monthly,No,1
415,38,144.21,5479.98,Monthly,No,0
416,45,35.81,1611.45,Monthly,No,0
417,51,22.65,1155.15,Monthly,No,0
418,54,117.94,6368.76,Yearly,No,1
419,8,19.55,156.4,Yearly,Yes,0
420,27,127.19,3434.13,Yearly,No,1
421,27,71.21,1922.67,Yearly,No,0
422,34,138.17,4697.78,Monthly,Yes,0
423,21,111.01,2331.21,Monthly,Yes,0
424,30,95.46,2863.8,Yearly,No,0
425,33,142.9,4715.7,Monthly,No,0
426,28,65.53,1834.84,Yearly,No,0
427,47,143.57,6747.79,Monthly,No,0
428,33,28.9,953.7,Monthly,No,0
429,5,77.73,388.65,Monthly,No,0
430,60,47.79,2867.4,Yearly,Yes,0
431,48,85.58,4107.84,Yearly,No,0
432,19,32.68,620.92,Monthly,Yes,0
433,4,127.81,511.24,Yearly,No,0
434,35,128.5,4497.5,Monthly,Yes,0
435,49,143.73,7042.77,Monthly,Yes,0
436,17,31.65,538.05,Monthly,Yes,0
437,44,97.27,4279.88,Monthly,No,0
438,28,76.39,2138.92,Monthly,No,0
439,30,58.21,1746.3,Yearly,No,0
440,29,59.22,1717.38,Yearly,Yes,0
441,46,67.79,3118.34,Monthly,No,0
442,53,108.69,5760.57,Monthly,No,0
443,6,93.76,562.56,Yearly,No,0
444,35,74.36,2602.6,Yearly,No,0
445,60,20.63,1237.8,Yearly,No,0
446,41,20.89,856.49,Monthly,No,0
447,37,10.33,382.21,Monthly,Yes,0
448,24,145.48,3491.52,Monthly,Yes,0
449,29,10.74,311.46,Monthly,Yes,0
450,49,24.43,1197.07,Monthly,No,1
451,46,54.04,2485.84,Yearly,Yes,0
452,53,123.04,6521.12,Monthly,Yes,1
453,31,144.69,4485.39,Monthly,Yes,0
454,35,120.6,4221.0,Monthly,Yes,1
455,60,106.68,6400.8,Monthly,No,1
456,33,82.98,2738.34,Monthly,Yes,0
457,52,22.14,1151.28,Monthly,No,0
458,21,144.14,3026.94,Monthly,No,0
459,32,116.17,3717.44,Yearly,No,1
460,23,99.45,2287.35,Yearly,Yes,0
461,33,116.27,3836.91,Monthly,Yes,1
462,3,111.37,334.11,Monthly,Yes,0
463,18,99.21,1785.78,Yearly,Yes,0
464,25,147.28,3682.0,Monthly,No,0
465,42,136.47,5731.74,Monthly,No,0
466,31,100.53,3116.43,Yearly,No,1
467,54,107.04,5780.16,Monthly,No,1
468,58,17.22,998.76,Monthly,No,0
469,3,103.79,311.37,Monthly,No,1
470,40,16.18,647.2,Monthly,No,0
471,46,92.36,4248.56,Monthly,Yes,1
472,24,149.91,3597.84,Yearly,No,0
473,50,87.81,4390.5,Monthly,Yes,0
474,32,76.25,2440.0,Monthly,Yes,0
475,47,53.8,2528.6,Yearly,No,0
476,22,26.87,591.14,Monthly,No,0
477,23,112.34,2583.82,Monthly,No,1
478,2,36.96,73.92,Yearly,No,1
479,27,26.14,705.78,Monthly,Yes,0
480,42,69.05,2900.1,Yearly,No,0
481,2,121.35,242.7,Yearly,No,0
482,26,114.31,2972.06,Monthly,No,0
483,17,17.68,300.56,Monthly,Yes,0
484,40,73.72,2948.8,Yearly,Yes,0
485,33,83.14,2743.62,Monthly,Yes,0
486,9,100.24,902.16,Yearly,No,0
487,43,101.02,4343.86,Monthly,Yes,0
488,54,61.06,3297.24,Monthly,Yes,1
489,48,88.49,4247.52,Monthly,Yes,0
490,39,77.35,3016.65,Yearly,Yes,0
491,29,133.9,3883.1,Yearly,No,0
492,42,84.24,3538.08,Monthly,Yes,0
493,55,71.74,3945.7,Monthly,Yes,0
494,26,66.63,1732.38,Yearly,No,0
495,35,90.14,3154.9,Monthly,No,0
496,50,122.56,6128.0,Monthly,Yes,1
497,25,85.38,2134.5,Monthly,No,0
498,24,102.63,2463.12,Monthly,No,1
499,13,113.3,1472.9,Yearly,Yes,0
500,60,82.82,4969.2,Monthly,No,0
501,58,69.75,4045.5,Monthly,No,0
502,7,132.73,929.11,Monthly,No,1
503,57,68.45,3901.65,Yearly,No,0
504,36,74.67,2688.12,Monthly,No,0
505,45,148.65,6689.25,Monthly,No,1
506,20,10.03,200.6,Monthly,Yes,0
507,1,35.97,35.97,Yearly,No,0
508,8,63.75,510.0,Monthly,Yes,0
509,46,140.56,6465.76,Monthly,Yes,0
510,16,19.8,316.8,Monthly,No,0
511,14,11.33,158.62,Monthly,Yes,0
512,12,17.38,208.56,Monthly,No,0
513,51,22.4,1142.4,Yearly,No,0
514,23,15.26,350.98,Monthly,No,0
515,15,77.17,1157.55,Yearly,Yes,0
516,28,91.31,2556.68,Monthly,No,0
517,34,48.04,1633.36,Yearly,No,0
518,2,65.76,131.52,Monthly,Yes,0
519,32,22.84,730.88,Monthly,No,0
520,23,57.09,1313.07,Yearly,No,0
521,22,83.15,1829.3,Yearly,No,0
522,51,112.52,5738.52,Monthly,Yes,0
523,25,10.47,261.75,Monthly,Yes,0
524,58,75.42,4374.36,Yearly,No,0
525,22,51.58,1134.76,Monthly,No,1
526,58,129.4,7505.2,Yearly,No,0
527,58,110.18,6390.44,Yearly,Yes,0
528,22,92.48,2034.56,Monthly,No,1
529,49,48.82,2392.18,Monthly,No,1
530,52,137.45,7147.4,Monthly,No,1
531,42,16.31,685.02,Monthly,No,0
532,6,25.33,151.98,Monthly,No,0
533,15,64.83,972.45,Yearly,No,0
534,54,27.42,1480.68,Monthly,No,0
535,43,143.9,6187.7,Yearly,Yes,0
536,60,121.72,7303.2,Monthly,No,0
537,37,46.26,1711.62,Monthly,Yes,1
538,33,92.4,3049.2,Monthly,No,0
539,8,147.53,1180.24,Monthly,Yes,1
540,53,133.79,7090.87,Monthly,Yes,1
541,60,94.11,5646.6,Monthly,No,0
542,44,136.52,6006.88,Yearly,No,0
543,44,148.49,6533.56,Monthly,Yes,0
544,5,114.07,570.35,Monthly,No,0
545,39,19.1,744.9,Monthly,Yes,0
546,4,66.22,264.88,Monthly,No,0
547,6,127.3,763.8,Monthly,Yes,1
548,45,42.28,1902.6,Monthly,No,0
549,32,126.29,4041.28,Monthly,Yes,1
550,52,26.85,1396.2,Monthly,Yes,0
551,30,16.57,497.1,Monthly,Yes,0
552,47,63.77,2997.19,Yearly,No,0
553,35,15.14,529.9,Monthly,Yes,0
554,55,144.02,7921.1,Monthly,No,1
555,40,125.67,5026.8,Monthly,Yes,1
556,52,122.11,6349.72,Monthly,No,0
557,16,98.17,1570.72,Yearly,Yes,0
558,13,40.29,523.77,Monthly,No,0
559,50,82.56,4128.0,Monthly,Yes,0
560,60,93.62,5617.2,Monthly,Yes,0
561,42,83.5,3507.0,Monthly,Yes,0
562,30,46.43,1392.9,Monthly,No,1
563,19,82.13,1560.47,Monthly,No,0
564,17,78.77,1339.09,Yearly,Yes,1
565,56,149.49,8371.44,Monthly,No,1
566,19,135.64,2577.16,Monthly,No,0
567,28,74.87,2096.36,Monthly,Yes,0
568,58,97.21,5638.18,Monthly,Yes,0
569,55,114.7,6308.5,Monthly,No,1
570,26,14.88,386.88,Yearly,Yes,1
571,37,135.29,5005.73,Yearly,Yes,0
572,26,130.42,3390.92,Monthly,No,1
573,53,74.04,3924.12,Yearly,Yes,1
574,23,64.76,1489.48,Yearly,No,0
575,9,48.21,433.89,Yearly,No,1
576,12,76.73,920.76,Monthly,No,1
577,53,16.21,859.13,Yearly,No,0
578,1,129.31,129.31,Monthly,Yes,1
579,58,14.96,867.68,Yearly,No,1
580,58,56.07,3252.06,Monthly,No,0
581,1,140.42,140.42,Monthly,No,0
582,47,112.93,5307.71,Yearly,No,1
583,34,49.39,1679.26,Monthly,No,0
584,32,45.37,1451.84,Yearly,No,0
585,54,10.71,578.34,Yearly,No,0
586,48,107.4,5155.2,Monthly,Yes,1
587,25,16.83,420.75,Monthly,No,0
588,40,84.56,3382.4,Monthly,No,1
589,45,144.7,6511.5,Monthly,No,0
590,53,25.33,1342.49,Monthly,Yes,0
591,1,135.23,135.23,Yearly,No,0
592,16,148.81,2380.96,Monthly,No,0
593,39,18.61,725.79,Monthly,No,0
594,5,133.61,668.05,Yearly,Yes,1
595,22,82.25,1809.5,Monthly,No,1
596,29,136.91,3970.39,Monthly,Yes,0
597,55,89.98,4948.9,Yearly,No,0
598,3,102.7,308.1,Monthly,No,1
599,12,86.13,1033.56,Yearly,Yes,1
600,26,131.03,3406.78,Yearly,No,0
601,16,112.75,1804.0,Yearly,Yes,0
602,51,82.98,4231.98,Monthly,Yes,0
603,37,131.54,4866.98,Monthly,Yes,1
604,22,44.34,975.48,Monthly,No,0
605,57,32.03,1825.71,Yearly,Yes,0
606,29,32.46,941.34,Yearly,No,0
607,14,56.76,794.64,Monthly,Yes,1
608,28,43.42,1215.76,Monthly,Yes,0
609,5,140.21,701.05,Monthly,Yes,0
610,47,24.82,1166.54,Monthly,No,0
611,49,107.86,5285.14,Yearly,No,0
612,30,36.49,1094.7,Monthly,No,0
613,46,133.43,6137.78,Yearly,Yes,1
614,52,144.58,7518.16,Yearly,No,1
615,5,75.17,375.85,Monthly,No,1
616,12,133.07,1596.84,Monthly,Yes,1
